Step,AgentID,Wealth
0,0,1
0,1,1
0,2,1
0,3,1
0,4,1
0,5,1
0,6,1
0,7,1
0,8,1
0,9,1
0,10,1
0,11,1
0,12,1
0,13,1
0,14,1
0,15,1
0,16,1
0,17,1
0,18,1
0,19,1
0,20,1
0,21,1
0,22,1
0,23,1
0,24,1
0,25,1
0,26,1
0,27,1
0,28,1
0,29,1
0,30,1
0,31,1
0,32,1
0,33,1
0,34,1
0,35,1
0,36,1
0,37,1
0,38,1
0,39,1
0,40,1
0,41,1
0,42,1
0,43,1
0,44,1
0,45,1
0,46,1
0,47,1
0,48,1
0,49,1
1,0,1
1,1,1
1,2,0
1,3,1
1,4,1
1,5,0
1,6,0
1,7,1
1,8,1
1,9,1
1,10,1
1,11,0
1,12,1
1,13,2
1,14,1
1,15,1
1,16,2
1,17,0
1,18,1
1,19,0
1,20,1
1,21,2
1,22,1
1,23,1
1,24,1
1,25,2
1,26,1
1,27,1
1,28,2
1,29,1
1,30,1
1,31,1
1,32,1
1,33,1
1,34,1
1,35,0
1,36,1
1,37,1
1,38,1
1,39,1
1,40,1
1,41,1
1,42,1
1,43,2
1,44,1
1,45,1
1,46,1
1,47,2
1,48,1
1,49,1
2,0,0
2,1,1
2,2,0
2,3,1
2,4,2
2,5,0
2,6,0
2,7,1
2,8,1
2,9,2
2,10,1
2,11,0
2,12,0
2,13,2
2,14,1
2,15,1
2,16,2
2,17,0
2,18,1
2,19,0
2,20,2
2,21,2
2,22,1
2,23,2
2,24,0
2,25,3
2,26,0
2,27,1
2,28,3
2,29,0
2,30,1
2,31,1
2,32,1
2,33,1
2,34,1
2,35,0
2,36,1
2,37,1
2,38,1
2,39,2
2,40,1
2,41,1
2,42,1
2,43,2
2,44,1
2,45,1
2,46,0
2,47,2
2,48,1
2,49,0
3,0,0
3,1,1
3,2,0
3,3,1
3,4,2
3,5,0
3,6,0
3,7,1
3,8,1
3,9,2
3,10,0
3,11,0
3,12,0
3,13,2
3,14,1
3,15,1
3,16,2
3,17,0
