PycityLayers Index,Street_no,Postal_Code,Error_Code,Price,Consumption,City ID,Address
219467,4695,H2J 2V4,0,"1,750",17880,501408629,4695 rue Resther Montréal QC H2J 2V4
171065,4170,H2L 3M8,0,"1,270",12960,502588431,4170 av du Parc-Lafontaine Montréal QC H2L 3M8
20022,759,H2J 1T8,0,"1,920",18850,503475167,759 rue de Bienville Montréal QC H2J 1T8
243369,4696,H2J 2T5,0,"2,330",22880,501405524,4696 rue Pontiac Montréal QC H2J 2T5
86426,4403,H2J 3X7,0,"1,580",15630,500793080,4403 rue Marquette Montréal QC H2J 3X7
268936,4536,H2H 1Y3,0,"1,060",10880,500087866,4536 rue Chabot Montréal QC H2H 1Y3
150668,4400,H2H 1Z7,0,"1,350",13760,500341182,4400 rue de Bordeaux Montréal QC H2H 1Z7
38429,1476,H2J 1R9,0,960,9660,501046594,1476 rue Gilford Montréal QC H2J 1R9
67829,4666,H2J 2X5,0,"1,780",17510,503475227,4666 rue Saint-Hubert Montréal QC H2J 2X5
229119,4726,H2H 2A1,0,"1,380",14130,501589281,4726 rue de Bordeaux Montréal QC H2H 2A1
250389,4538,H2J 3Y4,0,"3,700",35610,503403841,4538 rue Marquette Montréal QC H2J 3Y4
20276,4225,H2H 1Z4,0,"1,860",18050,501294072,4225 rue de Bordeaux Montréal QC H2H 1Z4
22238,4606,H2H 2A1,0,720,6700,501588385,4606 rue de Bordeaux Montréal QC H2H 2A1
189812,4464,H2H 2B2,0,"1,100",11660,502711240,4464 av de Lorimier Montréal QC H2H 2B2
256424,4468,H2H 1W5,0,"1,300",13280,502855325,4468 rue Cartier Montréal QC H2H 1W5
269355,4556,H2J 3V6,0,"2,290",22710,501222993,4556 rue Fabre Montréal QC H2J 3V6
238036,4742,H2J 2X5,0,"1,780",18020,503475477,4742 rue Saint-Hubert Montréal QC H2J 2X5
43912,4293,H2J 3M3,0,"1,910",19430,500339126,4293 rue Chambord Montréal QC H2J 3M3
16217,4578,H2J 2N3,0,"2,190",21180,501221239,4578 rue Rivard Montréal QC H2J 2N3
22027,4632,H2H 2A1,0,"1,570",15470,501588438,4632 rue de Bordeaux Montréal QC H2H 2A1
13348,4442,H2J 2Z4,0,"1,930",20200,501445993,4442 rue Saint-André Montréal QC H2J 2Z4
286678,4820,H2J 2V7,0,"1,480",14990,504469308,101-4820 rue Resther Montréal QC H2J 2V7
286678,4820,H2J 2V7,0,"1,720",17060,504469309,102-4820 rue Resther Montréal QC H2J 2V7
286678,4820,H2J 2V7,0,540,4750,504469310,201-4820 rue Resther Montréal QC H2J 2V7
286678,4820,H2J 2V7,0,"1,060",11190,504469311,202-4820 rue Resther Montréal QC H2J 2V7
286678,4820,H2J 2V7,0,560,4950,504469312,203-4820 rue Resther Montréal QC H2J 2V7
286678,4820,H2J 2V7,0,820,8300,504469313,301-4820 rue Resther Montréal QC H2J 2V7
286678,4820,H2J 2V7,0,710,7010,504469314,302-4820 rue Resther Montréal QC H2J 2V7
286678,4820,H2J 2V7,0,930,9350,504469315,303-4820 rue Resther Montréal QC H2J 2V7
286678,4820,H2J 2V7,0,810,8240,504469316,401-4820 rue Resther Montréal QC H2J 2V7
174299,4859,H2H 1V7,0,"1,020",10410,503059219,4859 av Papineau Montréal QC H2H 1V7
